Table C-2,,
A/Afull,Y/Yfull,P/Pfull
0,0,0
0.02,0.05236,0.00529
0.04,0.08369,0.01432
0.06,0.11025,0.02559
0.08,0.13423,0.03859
0.1,0.15643,0.05304
0.12,0.17755,0.06877
0.14,0.19772,0.08551
0.16,0.21704,0.10326
0.18,0.23581,0.12195
0.2,0.25412,0.14144
0.22,0.27194,0.16162
0.24,0.28948,0.18251
0.26,0.30653,0.2041
0.28,0.32349,0.22636
0.3,0.34017,0.24918
0.32,0.35666,0.27246
0.34,0.37298,0.29614
0.36,0.38915,0.32027
0.38,0.40521,0.34485
0.4,0.42117,0.36989
0.42,0.43704,0.39531
0.44,0.45284,0.42105
0.46,0.46858,0.44704
0.48,0.4843,0.47329
0.5,0.5,0.4998
0.52,0.51572,0.52658
0.54,0.53146,0.55354
0.56,0.54723,0.58064
0.58,0.56305,0.60777
0.6,0.57892,0.63499
0.62,0.59487,0.66232
0.64,0.61093,0.68995
0.66,0.6271,0.7177
0.68,0.64342,0.74538
0.7,0.65991,0.77275
0.72,0.67659,0.79979
0.74,0.6935,0.82658
0.76,0.71068,0.8532
0.78,0.72816,0.87954
0.8,0.74602,0.90546
0.82,0.76424,0.93095
0.84,0.78297,0.95577
0.86,0.80235,0.97976
0.88,0.8224,1.00291
0.9,0.84353,1.02443
0.92,0.86563,1.04465
0.94,0.8897,1.06135
0.96,0.91444,1.08208
0.98,0.94749,1.07662
1,1,1