id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth
1,OUTFALLSTREET,-100,0,0.8,0,-1,0,-1,P-50x100,0.818,0.415
2,OUTFALLSEWER,-100,0,-0.6,0,-1,0,-1,P-50x100,0.818,0.415
3,STREET,0,0,1.05,0,1,1,18,P-50x100,0.818,0.415
4,STREET,0,80,1.17,0,3,0,-1,P-50x100,0.818,0.415
5,STREET,0,160,1.29,0,4,0,-1,P-50x100,0.818,0.415
6,STREET,100,0,1.3,0,3,1,21,P-50x100,0.818,0.415
7,STREET,100,80,1.42,0,6,0,-1,P-50x100,0.818,0.415
8,STREET,100,160,1.54,0,7,0,-1,P-50x100,0.818,0.415
9,STREET,200,0,1.55,0,6,1,24,P-50x100,0.818,0.415
10,STREET,200,80,1.67,0,9,0,-1,P-50x100,0.818,0.415
11,STREET,200,160,1.79,0,10,0,-1,P-50x100,0.818,0.415
12,STREET,300,0,1.8,0,9,1,27,P-50x100,0.818,0.415
13,STREET,300,80,1.92,0,12,0,-1,P-50x100,0.818,0.415
14,STREET,300,160,2.04,0,13,0,-1,P-50x100,0.818,0.415
15,STREET,400,0,2.05,0,12,1,30,P-50x100,0.818,0.415
16,STREET,400,80,2.17,0,15,0,-1,P-50x100,0.818,0.415
17,STREET,400,160,2.29,0,16,0,-1,P-50x100,0.818,0.415
18,SEWER,0,0,-0.45,0,2,1,3,P-50x100,0.818,0.415
19,SEWER,0,80,-0.33,0,18,0,-1,P-50x100,0.818,0.415
20,SEWER,0,160,-0.21,0,19,0,-1,P-50x100,0.818,0.415
21,SEWER,100,0,-0.2,0,18,1,6,P-50x100,0.818,0.415
22,SEWER,100,80,-0.08,0,21,0,-1,P-50x100,0.818,0.415
23,SEWER,100,160,0.04,0,22,0,-1,P-50x100,0.818,0.415
24,SEWER,200,0,0.05,0,21,1,9,P-50x100,0.818,0.415
25,SEWER,200,80,0.17,0,24,0,-1,P-50x100,0.818,0.415
26,SEWER,200,160,0.29,0,25,0,-1,P-50x100,0.818,0.415
27,SEWER,300,0,0.3,0,24,1,12,P-50x100,0.818,0.415
28,SEWER,300,80,0.42,0,27,0,-1,P-50x100,0.818,0.415
29,SEWER,300,160,0.54,0,28,0,-1,P-50x100,0.818,0.415
30,SEWER,400,0,0.55,0,27,1,15,P-50x100,0.818,0.415
31,SEWER,400,80,0.67,0,30,0,-1,P-50x100,0.818,0.415
32,SEWER,400,160,0.79,0,31,0,-1,P-50x100,0.818,0.415
33,SUBCATCHMENT,-50,200,1.225,0.0618,5,0,-1,P-50x100,0.818,0.415
34,SUBCATCHMENT,50,200,1.4,0.0618,8,0,-1,P-50x100,0.818,0.415
35,SUBCATCHMENT,150,200,1.5,0.0693,11,0,-1,P-50x100,0.818,0.415
36,SUBCATCHMENT,250,200,1.855,0.0741,14,0,-1,P-50x100,0.818,0.415
37,SUBCATCHMENT,350,200,1.97,0.0822,17,0,-1,P-50x100,0.818,0.415
38,SUBCATCHMENT,50,120,1.4,0.048,7,0,-1,P-50x100,0.818,0.415
39,SUBCATCHMENT,250,40,1.5,0.039,12,0,-1,P-50x100,0.818,0.415